"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"Myeloid_Interferon-Responsive Myeloid","B_Bn_TCL1A","MIF","CD74",14.6604280754572,2.70153675035519,5.52929115422946,0.985611510791367,0.995773457311919
"B_Early-PC_MS4A1low","DC","MIF","CD74",14.6588079872691,2.6149518833086,5.60576585781069,1,1
"Myeloid_Interferon-Responsive Myeloid","Myeloid_Macro-C3/CX3CR1","MIF","CD74",14.629108530321,2.70153675035519,5.49415889180462,0.985611510791367,1
"Myeloid_Interferon-Responsive Myeloid","B_Classical-Bm_TXNIP","MIF","CD74",14.5776144592325,2.70153675035519,5.47481959932758,0.985611510791367,1
"CNV_Subclone_04","B_Bn_TCL1A","MIF","CD74",14.5427206948119,2.66794014087478,5.52929115422946,0.99000999000999,0.995773457311919
"CNV_Subclone_04","Myeloid_Macro-C3/CX3CR1","MIF","CD74",14.5116526117478,2.66794014087478,5.49415889180462,0.99000999000999,1
"CNV_Subclone_05","Myeloid_cDC2-like","MIF","CD74",14.505595341475,2.59194329842544,6.10518209895897,0.916666666666667,1
"Myeloid_Proliferating Myeloid","Myeloid_mDC_LAMP3","MIF","CD74",14.5015547348271,2.51942695338774,5.84767373194563,0.984304932735426,1
"CNV_Subclone_04","B_Classical-Bm_TXNIP","MIF","CD74",14.4605719823538,2.66794014087478,5.47481959932758,0.99000999000999,1
"Smooth_muscle_cells","Myeloid_mDC_LAMP3","MIF","CD74",14.4005017090447,2.67023686459798,5.84767373194563,0.922241587344148,1
"B_Early-PC_MS4A1low","B_Bn_TCL1A","MIF","CD74",14.3977194535589,2.6149518833086,5.52929115422946,1,0.995773457311919
"B_Early-PC_MS4A1low","Myeloid_Macro-C3/CX3CR1","MIF","CD74",14.3669611413212,2.6149518833086,5.49415889180462,1,1
"B_Early-PC_MS4A1low","B_Classical-Bm_TXNIP","MIF","CD74",14.3163898220365,2.6149518833086,5.47481959932758,1,1
"CNV_Subclone_03","Myeloid_Macro-Inflammatory_M1","MIF","CD74",14.2653143395517,3.0661623920733,4.8515377434137,0.969637610186092,0.989002356637863
"CNV_Subclone_02","DC","MIF","CD74",14.2529592334282,2.56651718010494,5.60576585781069,0.990662931839402,1
"CNV_Subclone_05","Myeloid_cDC2","MIF","CD74",14.238300837665,2.59194329842544,5.99268195116116,0.916666666666667,1
"Myeloid_Macro-MCEMP1","Myeloid_cDC1","MIF","CD74",14.1809951420774,2.26234705231963,6.63227775258739,0.945115257958288,1
"Myeloid_Macro-Inflammatory_M1","Myeloid_cDC1","MIF","CD74",14.1781999033283,2.35820189736673,6.63227775258739,0.906520031421838,1
"CNV_Subclone_03","Myeloid_Macro-Inflammatory_TNF","MIF","CD74",14.0206063126819,3.0661623920733,4.75777215488316,0.969637610186092,0.99119373776908
"CNV_Subclone_02","B_Bn_TCL1A","MIF","CD74",13.9990992858445,2.56651718010494,5.52929115422946,0.990662931839402,0.995773457311919
"CNV_Subclone_01","Myeloid_cDC1","MIF","CD74",13.9741448733097,2.54125547300835,6.63227775258739,0.829113924050633,1
"CNV_Subclone_02","Myeloid_Macro-C3/CX3CR1","MIF","CD74",13.9691925587222,2.56651718010494,5.49415889180462,0.990662931839402,1
"CNV_Subclone_02","B_Classical-Bm_TXNIP","MIF","CD74",13.9200213742186,2.56651718010494,5.47481959932758,0.990662931839402,1
"Myeloid_Proliferating Myeloid","DC","MIF","CD74",13.9016511768722,2.51942695338774,5.60576585781069,0.984304932735426,1
"CNV_Subclone_05","Myeloid_mDC_LAMP3","MIF","CD74",13.8937688458204,2.59194329842544,5.84767373194563,0.916666666666667,1
"Smooth_muscle_cells","DC","MIF","CD74",13.8047785352498,2.67023686459798,5.60576585781069,0.922241587344148,1
"Myeloid_Interferon-Responsive Myeloid","B_Bm_stress-response","MIF","CD74",13.7085835066662,2.70153675035519,5.14844331157228,0.985611510791367,1
"Myeloid_Proliferating Myeloid","B_Bn_TCL1A","MIF","CD74",13.6540483891782,2.51942695338774,5.52929115422946,0.984304932735426,0.995773457311919
"Myeloid_Macro-THBS1","Myeloid_cDC1","MIF","CD74",13.630832668582,2.1209306215973,6.63227775258739,0.969021065675341,1
"Myeloid_Proliferating Myeloid","Myeloid_Macro-C3/CX3CR1","MIF","CD74",13.6248788054105,2.51942695338774,5.49415889180462,0.984304932735426,1
"CNV_Subclone_04","B_Bm_stress-response","MIF","CD74",13.5985184083879,2.66794014087478,5.14844331157228,0.99000999000999,1
"Myeloid_cDC1","Myeloid_cDC1","MIF","CD74",13.5777424603256,2.05575171846876,6.63227775258739,0.995850622406639,1
"Myeloid_Proliferating Myeloid","B_Classical-Bm_TXNIP","MIF","CD74",13.5769195961174,2.51942695338774,5.47481959932758,0.984304932735426,1
"Myeloid_Macro-Inflammatory_TNF","Myeloid_cDC2-like","MIF","CD74",13.5603350121769,2.430389143034,6.10518209895897,0.913894324853229,1
"Smooth_muscle_cells","B_Bn_TCL1A","MIF","CD74",13.5589011495106,2.67023686459798,5.52929115422946,0.922241587344148,0.995773457311919
"Smooth_muscle_cells","Myeloid_Macro-C3/CX3CR1","MIF","CD74",13.5299348318585,2.67023686459798,5.49415889180462,0.922241587344148,1
