"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct","lr_pair"
"Smooth_muscle_cells","CNV_Subclone_02","COL6A1","ITGB1",0.411087958829899,2.07101612909495,0.478860108047156,0.828261161013541,0.50046685340803,"COL6A1 -> ITGB1"
"CNV_Subclone_04","T_NK_CD56dim cytotoxic NK","ERBB2","HLA-C",0.394393807849087,0.290735835250046,3.40923609538378,0.400599400599401,0.993262752646776,"ERBB2 -> HLA-C"
"B_Early-PC_MS4A1low","CNV_Subclone_04","HSP90B1","ERBB2",0.392792614191519,3.372519371683,0.290735835250046,1,0.400599400599401,"HSP90B1 -> ERBB2"
"CNV_Subclone_03","Myeloid_Interferon-Responsive Myeloid","UBA52","TLR4",0.392162105283747,2.84579392767234,0.338308002506024,0.970617042115573,0.419664268585132,"UBA52 -> TLR4"
"CNV_Subclone_02","Myeloid_Macro-THBS1","CD55","ADGRE2",0.385918397628552,0.805844881467021,0.985481418853179,0.684407096171802,0.71003717472119,"CD55 -> ADGRE2"
"CNV_Subclone_04","Myeloid_Macro-THBS1","COL14A1","CD44",0.382201918241855,0.446560684869188,2.3522579235153,0.372627372627373,0.976456009913259,"COL14A1 -> CD44"
"CNV_Subclone_02","Myeloid_Macro-TIMD4","HP","ITGAM",0.381320379687084,1.23067139207729,0.811168966918683,0.619047619047619,0.617038875103391,"HP -> ITGAM"
"CNV_Subclone_04","T_NK_CD56dim cytotoxic NK","HLA-E","KLRK1",0.374258632894861,0.6861052975883,1.26217713100143,0.66033966033966,0.654475457170356,"HLA-E -> KLRK1"
"CNV_Subclone_02","Myeloid_Macro-THBS1","A2M","LRP1",0.371750973097769,0.641574551893433,1.2995564784584,0.548085901027078,0.813506815365551,"A2M -> LRP1"
"Myeloid_Interferon-Responsive Myeloid","CNV_Subclone_02","TIMP2","ITGB1",0.367063922234284,1.6376804733959,0.478860108047156,0.935251798561151,0.50046685340803,"TIMP2 -> ITGB1"
"Myeloid_Macro-TIMD4","CNV_Subclone_04","FN1","CD44",0.358519677873017,2.85890794446799,0.357606161001,0.884201819685691,0.396603396603397,"FN1 -> CD44"
"CNV_Subclone_02","Smooth_muscle_cells","APP","CAV1",0.353908423706365,1.04072382890921,0.822360442131366,0.788048552754435,0.524735219198284,"APP -> CAV1"
"CNV_Subclone_02","Smooth_muscle_cells","CALM2","MYLK",0.350737309703657,1.92094743433875,0.489742870187064,0.958916900093371,0.38879206327926,"CALM2 -> MYLK"
"T_NK_CD4+ T effector","CNV_Subclone_04","LTB","LTBR",0.350483929846567,3.2090833479313,0.283995819274531,0.943515589697244,0.407592407592408,"LTB -> LTBR"
"T_NK_CD4+ T naive","CNV_Subclone_04","UBA52","ERBB2",0.347286453649385,3.00943579620416,0.290735835250046,0.990818030050084,0.400599400599401,"UBA52 -> ERBB2"
"CNV_Subclone_02","B_Early-PC_MS4A1low","COL9A3","ITGB1",0.336641808127762,0.708132423640806,1.00913612000657,0.584500466853408,0.805970149253731,"COL9A3 -> ITGB1"
"T_NK_CD8+ T resident memory","CNV_Subclone_02","CALM1","PTPRA",0.33442877753034,2.62376894192781,0.324310707288082,0.967647058823529,0.406162464985994,"CALM1 -> PTPRA"
