patient_id,timepoint,cluster,n_cells,cluster_fraction
"P17","Pre-treatment","19",18,0.00490596892886345
"P18","Post-treatment","19",5,0.00293599530240752
"P19","Post-treatment","19",44,0.0266505148394912
"P20","Post-treatment","19",18,0.0128847530422334
"P21","Post-treatment","19",4,0.000689417442261289
"P23","Post-treatment","19",2,0.000652741514360313
"P24","Post-treatment","19",0,0
"P01","Time1","2",0,0
"P01","Time2","2",0,0
"P02","Time1","2",0,0
"P02","Time2","2",0,0
"P02","Time3","2",0,0
"P03","Time1","2",0,0
"P03","Time2","2",0,0
"P03","Time3","2",0,0
"P04","Time1","2",0,0
"P04","Time2","2",2,0.000390625
"P04","Time3","2",1,0.000554631170271769
"P05","Time1","2",0,0
"P05","Time2","2",0,0
"P05","Time3","2",0,0
"P06","Time1","2",0,0
"P06","Time2","2",0,0
"P06","Time3","2",0,0
"P07","Time1","2",2,0.000459347726228755
"P07","Time2","2",6,0.000634115409004439
"P08","Time1","2",178,0.0363933755878144
"P08","Time2","2",4231,0.931938325991189
"P08","Time3","2",2116,0.551904016692749
"P09","Time1","2",0,0
"P09","Time2","2",3,0.00172215843857635
"P09","Time3","2",4,0.00282087447108604
"P10","Pre-treatment","2",0,0
"P11","Pre-treatment","2",0,0
"P12","Pre-treatment","2",2,0.000332723340542339
"P13","Pre-treatment","2",1,0.000410340582683627
"P14","Pre-treatment","2",3,0.000840571588680303
"P15","Pre-treatment","2",5,0.00214316330904415
"P16","Pre-treatment","2",3,0.000831485587583149
"P17","Pre-treatment","2",23,0.00626873807576996
"P18","Post-treatment","2",2,0.00117439812096301
"P19","Post-treatment","2",8,0.00484554815263477
"P20","Post-treatment","2",9,0.00644237652111668
"P21","Post-treatment","2",8,0.00137883488452258
"P23","Post-treatment","2",5,0.00163185378590078
"P24","Post-treatment","2",3,0.00128589798542649
"P01","Time1","20",0,0
"P01","Time2","20",0,0
"P02","Time1","20",0,0
"P02","Time2","20",0,0
"P02","Time3","20",0,0
"P03","Time1","20",0,0
"P03","Time2","20",0,0
"P03","Time3","20",0,0
"P04","Time1","20",0,0
"P04","Time2","20",0,0
"P04","Time3","20",0,0
"P05","Time1","20",0,0
"P05","Time2","20",0,0
"P05","Time3","20",0,0
"P06","Time1","20",0,0
"P06","Time2","20",0,0
"P06","Time3","20",0,0
"P07","Time1","20",0,0
"P07","Time2","20",0,0
"P08","Time1","20",0,0
"P08","Time2","20",108,0.0237885462555066
"P08","Time3","20",1618,0.422013562858633
"P09","Time1","20",0,0
"P09","Time2","20",0,0
"P09","Time3","20",0,0
"P10","Pre-treatment","20",0,0
"P11","Pre-treatment","20",0,0
"P12","Pre-treatment","20",0,0
"P13","Pre-treatment","20",0,0
"P14","Pre-treatment","20",0,0
"P15","Pre-treatment","20",0,0
"P16","Pre-treatment","20",0,0
"P17","Pre-treatment","20",0,0
"P18","Post-treatment","20",0,0
"P19","Post-treatment","20",0,0
"P20","Post-treatment","20",0,0
"P21","Post-treatment","20",0,0
"P23","Post-treatment","20",0,0
"P24","Post-treatment","20",0,0
"P01","Time1","21",0,0
"P01","Time2","21",0,0
"P02","Time1","21",0,0
"P02","Time2","21",0,0
"P02","Time3","21",0,0
"P03","Time1","21",0,0
"P03","Time2","21",0,0
"P03","Time3","21",0,0
"P04","Time1","21",0,0
"P04","Time2","21",0,0
"P04","Time3","21",0,0
"P05","Time1","21",144,0.0442260442260442
"P05","Time2","21",162,0.0429252782193959
"P05","Time3","21",154,0.0376160234489497
"P06","Time1","21",0,0
"P06","Time2","21",0,0
"P06","Time3","21",0,0
"P07","Time1","21",2,0.000459347726228755
"P07","Time2","21",1,0.00010568590150074
"P08","Time1","21",2,0.000408914332447352
"P08","Time2","21",4,0.000881057268722467
"P08","Time3","21",2,0.000521648408972353
"P09","Time1","21",0,0
"P09","Time2","21",0,0
"P09","Time3","21",1,0.000705218617771509
"P10","Pre-treatment","21",0,0
"P11","Pre-treatment","21",1,0.000293944738389183
"P12","Pre-treatment","21",3,0.000499085010813509
"P13","Pre-treatment","21",4,0.00164136233073451
"P14","Pre-treatment","21",442,0.123844214065565
"P15","Pre-treatment","21",2,0.00085726532361766
"P16","Pre-treatment","21",295,0.0817627494456763
"P17","Pre-treatment","21",333,0.0907604251839738
"P18","Post-treatment","21",0,0
"P19","Post-treatment","21",21,0.0127195639006663
"P20","Post-treatment","21",64,0.0458124552612742
"P21","Post-treatment","21",10,0.00172354360565322
"P23","Post-treatment","21",2,0.000652741514360313
"P24","Post-treatment","21",15,0.00642948992713245
"P01","Time1","22",0,0
"P01","Time2","22",0,0
"P02","Time1","22",0,0
"P02","Time2","22",0,0
"P02","Time3","22",0,0
"P03","Time1","22",0,0
"P03","Time2","22",0,0
"P03","Time3","22",0,0
"P04","Time1","22",0,0
"P04","Time2","22",1,0.0001953125
"P04","Time3","22",0,0
"P05","Time1","22",0,0
"P05","Time2","22",0,0
"P05","Time3","22",0,0
"P06","Time1","22",0,0
"P06","Time2","22",0,0
"P06","Time3","22",0,0
"P07","Time1","22",1,0.000229673863114378
"P07","Time2","22",0,0
"P08","Time1","22",0,0
"P08","Time2","22",0,0
"P08","Time3","22",1,0.000260824204486176
"P09","Time1","22",1,0.000829187396351576
"P09","Time2","22",1,0.000574052812858783
"P09","Time3","22",1,0.000705218617771509
"P10","Pre-treatment","22",0,0
"P11","Pre-treatment","22",0,0
"P12","Pre-treatment","22",0,0
"P13","Pre-treatment","22",0,0
"P14","Pre-treatment","22",0,0
"P15","Pre-treatment","22",3,0.00128589798542649
"P16","Pre-treatment","22",1,0.000277161862527716
"P17","Pre-treatment","22",1,0.000272553829381303
"P18","Post-treatment","22",1633,0.958896065766295
"P19","Post-treatment","22",3,0.00181708055723804
"P20","Post-treatment","22",2,0.00143163922691482
"P21","Post-treatment","22",2,0.000344708721130645
"P23","Post-treatment","22",0,0
"P24","Post-treatment","22",1,0.00042863266180883
"P01","Time1","23",0,0
"P01","Time2","23",0,0
"P02","Time1","23",0,0
"P02","Time2","23",0,0
"P02","Time3","23",0,0
"P03","Time1","23",0,0
"P03","Time2","23",0,0
"P03","Time3","23",0,0
"P04","Time1","23",358,0.0765120752297499
"P04","Time2","23",1145,0.2236328125
"P04","Time3","23",7,0.00388241819190239
"P05","Time1","23",0,0
"P05","Time2","23",0,0
"P05","Time3","23",0,0
"P06","Time1","23",0,0
"P06","Time2","23",0,0
"P06","Time3","23",0,0
"P07","Time1","23",3,0.000689021589343133
"P07","Time2","23",0,0
"P08","Time1","23",2,0.000408914332447352
"P08","Time2","23",0,0
"P08","Time3","23",0,0
"P09","Time1","23",0,0
"P09","Time2","23",0,0
"P09","Time3","23",1,0.000705218617771509
"P10","Pre-treatment","23",0,0
"P11","Pre-treatment","23",1,0.000293944738389183
"P12","Pre-treatment","23",1,0.00016636167027117
"P13","Pre-treatment","23",0,0
"P14","Pre-treatment","23",2,0.000560381059120202
"P15","Pre-treatment","23",2,0.00085726532361766
"P16","Pre-treatment","23",6,0.0016629711751663
"P17","Pre-treatment","23",3,0.000817661488143908
"P18","Post-treatment","23",0,0
"P19","Post-treatment","23",1,0.000605693519079346
"P20","Post-treatment","23",3,0.00214745884037223
"P21","Post-treatment","23",0,0
"P23","Post-treatment","23",0,0
"P24","Post-treatment","23",0,0
"P01","Time1","24",0,0
"P01","Time2","24",0,0
"P02","Time1","24",0,0
"P02","Time2","24",0,0
"P02","Time3","24",0,0
"P03","Time1","24",0,0
"P03","Time2","24",0,0
"P03","Time3","24",0,0
"P04","Time1","24",4,0.000854883522120111
"P04","Time2","24",0,0
"P04","Time3","24",0,0
"P05","Time1","24",2,0.000614250614250614
"P05","Time2","24",0,0
"P05","Time3","24",2,0.000488519785051295
"P06","Time1","24",0,0
"P06","Time2","24",0,0
"P06","Time3","24",0,0
"P07","Time1","24",0,0
"P07","Time2","24",1,0.00010568590150074
"P08","Time1","24",1,0.000204457166223676
"P08","Time2","24",0,0
"P08","Time3","24",1,0.000260824204486176
"P09","Time1","24",0,0
"P09","Time2","24",0,0
"P09","Time3","24",1,0.000705218617771509
"P10","Pre-treatment","24",1,0.00359712230215827
"P11","Pre-treatment","24",4,0.00117577895355673
"P12","Pre-treatment","24",0,0
"P13","Pre-treatment","24",0,0
"P14","Pre-treatment","24",0,0
"P15","Pre-treatment","24",1,0.00042863266180883
"P16","Pre-treatment","24",0,0
"P17","Pre-treatment","24",0,0
"P18","Post-treatment","24",6,0.00352319436288902
"P19","Post-treatment","24",1205,0.729860690490612
"P20","Post-treatment","24",14,0.0100214745884037
"P21","Post-treatment","24",3,0.000517063081695967
"P23","Post-treatment","24",0,0
"P24","Post-treatment","24",3,0.00128589798542649
"P01","Time1","25",0,0
"P01","Time2","25",0,0
"P02","Time1","25",0,0
"P02","Time2","25",0,0
"P02","Time3","25",0,0
"P03","Time1","25",0,0
"P03","Time2","25",0,0
"P03","Time3","25",0,0
"P04","Time1","25",3,0.000641162641590083
"P04","Time2","25",1,0.0001953125
"P04","Time3","25",4,0.00221852468108708
"P05","Time1","25",0,0
"P05","Time2","25",0,0
"P05","Time3","25",0,0
"P06","Time1","25",0,0
"P06","Time2","25",0,0
"P06","Time3","25",0,0
"P07","Time1","25",628,0.144235186035829
"P07","Time2","25",71,0.00750369900655253
"P08","Time1","25",0,0
"P08","Time2","25",0,0
"P08","Time3","25",0,0
"P09","Time1","25",1,0.000829187396351576
"P09","Time2","25",0,0
"P09","Time3","25",0,0
"P10","Pre-treatment","25",0,0
"P11","Pre-treatment","25",1,0.000293944738389183
"P12","Pre-treatment","25",0,0
"P13","Pre-treatment","25",0,0
"P14","Pre-treatment","25",0,0
"P15","Pre-treatment","25",1,0.00042863266180883
"P16","Pre-treatment","25",4,0.00110864745011086
"P17","Pre-treatment","25",2,0.000545107658762606
"P18","Post-treatment","25",0,0
"P19","Post-treatment","25",0,0
"P20","Post-treatment","25",0,0
"P21","Post-treatment","25",1,0.000172354360565322
"P23","Post-treatment","25",102,0.033289817232376
"P24","Post-treatment","25",1,0.00042863266180883
"P01","Time1","26",0,0
"P01","Time2","26",0,0
"P02","Time1","26",0,0
"P02","Time2","26",0,0
"P02","Time3","26",0,0
"P03","Time1","26",0,0
"P03","Time2","26",0,0
"P03","Time3","26",0,0
"P04","Time1","26",0,0
"P04","Time2","26",0,0
"P04","Time3","26",0,0
"P05","Time1","26",0,0
"P05","Time2","26",0,0
"P05","Time3","26",0,0
"P06","Time1","26",0,0
"P06","Time2","26",0,0
"P06","Time3","26",0,0
"P07","Time1","26",0,0
"P07","Time2","26",0,0
"P08","Time1","26",0,0
"P08","Time2","26",0,0
"P08","Time3","26",0,0
"P09","Time1","26",0,0
"P09","Time2","26",0,0
"P09","Time3","26",0,0
