"gene","rho","p_value","n_groups","cnv_sd","expr_sd","padj"
"NPEPPS",0.0377894299154923,0.790259124012262,52,0.342997170285018,0.299094932410109,0.903416054711124
"KRTCAP3",0.0377667850468399,0.790381963293419,52,0.342997170285018,0.466346987664394,0.903416054711124
"ROGDI",0.0375322358866369,0.791654594427255,52,0.491250750789075,0.119048059550344,0.904265729953589
"ANAPC13",0.0374280723330771,0.792219944291259,52,0.479991829995829,0.148908144695979,0.904334513177414
"KIAA1143",0.0374093265127471,0.792321698880814,52,0.280056016805602,0.107775747204311,0.904334513177414
"MRPL38",0.0373998457570902,0.792373162880163,52,0.541978388086036,0.236008109457553,0.904334513177414
"WWP1",0.0373434151365444,0.792679501057564,52,0.848208119257686,0.214442389358543,0.904334513177414
"PRCP",0.0373345032796453,0.792727882630313,52,0.577023621203541,0.196628221231068,0.904334513177414
"FCGR3A",0.0372897338428432,0.792970943093283,52,0.617431550422404,0.0298368695460961,0.904419159115763
"HYI",0.0370754706312758,0.794134482157364,52,0.714797274258992,0.131153512763638,0.905095257350111
"S100A8",0.0370484725114108,0.794281124839709,52,0.955061139293626,0.140329838901662,0.905095257350111
"IGKV1-5",0.0369938835345465,0.794577651243507,52,0.435941795276363,0.228322990208734,0.905095257350111
"PRPF19",0.0368720837734695,0.795239369198011,52,0.194183909345154,0.200352191208236,0.905574325911064
"PIM3",0.0368542303598374,0.79533637585617,52,0.425435629811517,0.178489765611333,0.905574325911064
"TUBB4B",0.0366183163129319,0.79661850419845,52,0.584812818927992,0.458829598301133,0.906263531964082
"AIMP2",0.0364653944390588,0.797449877416907,52,0.447887617880174,0.175783696793285,0.906805119422324
"ARL6IP6",0.0363938460263156,0.797838933236476,52,0.408709848882006,0.248802341299362,0.906805119422324
"NFAT5",0.0363031710351926,0.798332062802818,52,0.412383719156125,0.148780262245421,0.9070569640161
"BORCS5",0.0361148523798774,0.799356469665239,52,0.498489422529764,0.0443075852188567,0.907309928952578
"TYMS",0.0360622656360016,0.799642588422015,52,0.416025147168922,0.29879582586451,0.907309928952578
"CD5",0.0358411299949036,0.800846048410206,52,0.297678296192606,0.0672591931634741,0.907602927483086
"SRGAP2",0.0357119044651782,0.801549529450264,52,0.80228745370412,0.19683594896844,0.908208013483311
"KRT10",0.0355171068090766,0.802610268346329,52,0.437237316097603,0.488175652037707,0.90916300025813
"SGK3",0.0351400404144674,0.804664522659171,52,0.699870705577028,0.257116665048613,0.910966642012792
"NFKBID",0.035074086405668,0.805023974336683,52,0.574403750140058,0.117805150735973,0.910988465359661
"CEBPG",0.034828455850671,0.806363020542566,52,0.539188262020282,0.123649130172053,0.911994758838167
"IGKV3-20",0.0348172643665089,0.806424043662726,52,0.454157931613731,0.077363983191448,0.911994758838167
"KDELR2",0.0346910707823309,0.80711221069676,52,0.447887617880174,0.298916815031673,0.912204697757463
"STRAP",0.0344016934892324,0.808690807619479,52,0.498489422529764,0.284798987688524,0.91340108933149
"DLGAP4",0.0342051893810355,0.809763198274815,52,0.541978388086036,0.112500122924969,0.914212185171705
"DTD1",0.03408806094277,0.810402573454358,52,0.556058093474279,0.0727775577572134,0.914212185171705
"RIPK1",0.034051673059546,0.810601230907523,52,0.425435629811517,0.0510785229349163,0.914212185171705
"STIM1",0.0340145589921817,0.810803865104848,52,0.397958591720272,0.0444297755809911,0.914212185171705
"BATF",0.0339886873721768,0.810945125420233,52,0.478812003967411,0.0616472318913377,0.914212185171705
"COPB1",0.0339246684087571,0.811294697755557,52,0.269069117598525,0.181197673019808,0.914346916372361
"CKB",0.0338774955677416,0.81155230603664,52,0.498489422529764,0.338927984627242,0.914346916372361
"CTNND1",0.033867443737583,0.81160720108423,52,0.269069117598525,0.237828041329515,0.914346916372361
"PPP4R2",0.0337792423740918,0.812088924791509,52,0.269069117598525,0.267021004085902,0.914346916372361
"PARP4",0.0335518875373428,0.81333097169632,52,0.312509426705482,0.0652589824932657,0.915250271353726
