p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,dataset_id,parent_cluster,subcluster
9.78517591630611e-10,2.00423733469588,0.293,0.067,3.39017204796342e-05,"1","TTF2","GSE147082","6","1"
9.83975043509413e-10,0.852739209417919,0.939,0.717,3.40907993574271e-05,"1","ACTG1","GSE147082","6","1"
9.8494839277807e-10,1.04220376278806,0.687,0.329,3.4124522016189e-05,"1","SRSF3","GSE147082","6","1"
1.11389374899686e-09,2.13980546840598,0.242,0.046,3.85919628277452e-05,"1","CKAP5","GSE147082","6","1"
1.17644835889398e-09,2.12829232257727,0.253,0.049,4.0759229842241e-05,"1","KIF22","GSE147082","6","1"
1.46619447975445e-09,1.05807065309007,0.717,0.38,5.07977739455725e-05,"1","SNRPD2","GSE147082","6","1"
1.47030663236796e-09,1.60403210951485,0.354,0.097,5.09402435850205e-05,"1","PSMA2","GSE147082","6","1"
1.59666131803732e-09,1.26828292797188,0.424,0.137,5.53179280247208e-05,"1","FKBP5","GSE147082","6","1"
2.46145141445483e-09,1.16159901984912,0.697,0.358,8.52794457052021e-05,"1","HLA.DRA","GSE147082","6","1"
2.66058610115394e-09,0.954053645423949,0.495,0.17,9.21786660605793e-05,"1","PSIP1","GSE147082","6","1"
2.68175725705066e-09,1.13512183775153,0.747,0.394,9.29121619277772e-05,"1","HNRNPD","GSE147082","6","1"
2.71697711373848e-09,1.93073606815868,0.303,0.078,9.41323890825834e-05,"1","LSM5","GSE147082","6","1"
3.02290207339707e-09,1.64048704948512,0.283,0.065,0.000104731465234915,"1","VBP1","GSE147082","6","1"
3.33150828546589e-09,0.965544005210583,0.788,0.431,0.000115423436058251,"1","COX6C","GSE147082","6","1"
3.33802492586778e-09,1.2994910693568,0.576,0.253,0.000115649211581615,"1","HNRNPR","GSE147082","6","1"
3.58494635278176e-09,1.21092898494461,0.354,0.094,0.000124204051338477,"1","EXOSC8","GSE147082","6","1"
4.13942499231708e-09,2.23040757177022,0.222,0.04,0.000143414518283818,"1","NCAPD2","GSE147082","6","1"
4.58171686744583e-09,2.2360383348011,0.242,0.049,0.000158738162589528,"1","PRIM1","GSE147082","6","1"
4.65828846702648e-09,1.3887504502201,0.374,0.111,0.0001613910622286,"1","ANAPC11","GSE147082","6","1"
5.00167439999328e-09,2.3543760001626,0.202,0.032,0.000173288011262167,"1","WEE1","GSE147082","6","1"
5.30081121631087e-09,1.4969479072507,0.394,0.124,0.000183651905400306,"1","TXNDC17","GSE147082","6","1"
6.71242532913293e-09,1.50692471225315,0.283,0.067,0.00023255868795314,"1","TMEM160","GSE147082","6","1"
6.98331657034726e-09,1.29202168065446,0.424,0.14,0.000241943985896251,"1","FAM111A","GSE147082","6","1"
7.21751545817723e-09,2.20446147560673,0.212,0.038,0.000250058040564008,"1","BRCA1","GSE147082","6","1"
8.34992736813375e-09,1.70243482321808,0.323,0.092,0.000289291583596362,"1","MRPL51","GSE147082","6","1"
8.47313658904207e-09,1.13779926645358,0.556,0.232,0.000293560290263951,"1","DBI","GSE147082","6","1"
9.31979122612583e-09,1.16268967787512,0.505,0.199,0.000322893486820355,"1","RPS27L","GSE147082","6","1"
9.55731640102933e-09,1.30711293288095,0.434,0.151,0.000331122784030062,"1","ATP5J2","GSE147082","6","1"
9.60332879695996e-09,1.84384990577033,0.283,0.07,0.000332716929499475,"1","SMS","GSE147082","6","1"
1.01687697851513e-08,1.13385529961259,0.434,0.151,0.000352307197976352,"1","MIS18BP1","GSE147082","6","1"
1.01879929508101e-08,1.19473071228456,0.495,0.191,0.000352973203773768,"1","TXN","GSE147082","6","1"
1.15926754965739e-08,1.18509822078312,0.465,0.167,0.0004016398352543,"1","PSMA3","GSE147082","6","1"
1.23395910478044e-08,1.14755387557422,0.576,0.24,0.000427517471442231,"1","ATP5J","GSE147082","6","1"
1.27859611205602e-08,2.11352454139445,0.364,0.116,0.000442982408982929,"1","HIST1H1D","GSE147082","6","1"
1.2797982169185e-08,1.95078170180506,0.242,0.051,0.000443398890233584,"1","CENPX","GSE147082","6","1"
1.35024964373176e-08,1.68975233932015,0.242,0.051,0.000467807491567304,"1","UQCC2","GSE147082","6","1"
1.38917399413021e-08,1.29687551802393,0.364,0.108,0.000481293222006354,"1","TUBA4A","GSE147082","6","1"
1.54287400250597e-08,1.57604528980934,0.293,0.075,0.000534544126908218,"1","RBBP4","GSE147082","6","1"
1.60197919152394e-08,1.03971596972476,0.525,0.205,0.000555021710695384,"1","CNTRL","GSE147082","6","1"
1.69113295448431e-08,1.91463449572098,0.202,0.035,0.000585909923410633,"1","BARD1","GSE147082","6","1"
1.79015933351925e-08,0.961288084468182,0.798,0.518,0.00062021860269108,"1","RPLP0","GSE147082","6","1"
2.35682475921612e-08,0.745790861111595,0.919,0.623,0.000816545506078016,"1","CD74","GSE147082","6","1"
2.62475581383839e-08,1.86421119459834,0.212,0.04,0.000909372899262448,"1","RBBP8","GSE147082","6","1"
2.85696146794867e-08,1.05367959987533,0.364,0.108,0.000989822870185496,"1","PSMD14","GSE147082","6","1"
