"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.11922702465738,0.413,0.014,0,"7","LUM"
0,6.08019384215932,0.77,0.006,0,"7","VTN"
0,6.06349804594145,0.949,0.029,0,"7","EGFL6"
0,6.02525649165724,0.266,0.005,0,"7","CTSE"
0,6.00085022825224,0.231,0.002,0,"7","PRR9"
0,5.97567406756658,0.782,0.014,0,"7","DCN"
0,5.95239327697513,0.8,0.012,0,"7","PROCR"
0,5.93866667610291,0.474,0.004,0,"7","SBSN"
0,5.9274140933284,0.725,0.008,0,"7","CD248"
0,5.84762684673205,0.38,0.002,0,"7","BCHE"
0,5.82616257468231,0.368,0.005,0,"7","IL13RA2"
0,4.92811011603946,0.606,0.135,0,"19","C12orf75"
0,3.8096383217722,0.281,0.082,0,"19","TMCC3"
0,3.64940040623738,0.269,0.094,0,"19","PROM1"
0,3.0231602360243,0.426,0.186,0,"19","MMP7"
0,2.77881235935787,0.203,0.12,0,"19","MACROD2"
0,2.62936130394034,0.574,0.386,0,"19","TALDO1"
0,2.55563094729967,0.563,0.306,0,"19","NUPR1"
0,2.50978991688985,0.277,0.204,0,"19","TXNRD1"
0,2.47790073527122,0.561,0.276,0,"19","S100A1"
0,2.22310995822674,0.965,0.805,0,"19","RPLP2"
0,2.21150101121545,0.635,0.204,0,"19","SAA1"
0,2.19449156619222,0.307,0.205,0,"19","ASRGL1"
0,2.11587560130412,0.23,0.16,0,"19","IRS2"
0,2.06539748854467,0.458,0.336,0,"19","CRYAB"
2.51478859958354e-09,2.04984261304105,0.22,0.201,4.62519919235405e-05,"19","RGS10"
0,1.91748243625352,0.316,0.111,0,"19","SAA2"
0,1.90002937514587,0.433,0.262,0,"19","GPX3"
0,1.89917378022918,0.947,0.789,0,"19","RPL27A"
0,1.84198715379424,0.845,0.686,0,"19","PPIA"
0,1.83781374094807,0.249,0.166,0,"19","IL32"
0,7.21549043285382,0.311,0.01,0,"12","CRLF1"
0,6.13099693668059,0.388,0.023,0,"12","SFRP1"
0,4.8522769957883,0.232,0.026,0,"12","FGF9"
0,4.10982340649631,0.309,0.046,0,"12","AGR2"
0,4.0636788083936,0.44,0.107,0,"12","L1CAM"
0,3.9221274591962,0.322,0.062,0,"12","CLDN9"
0,3.84982197670637,0.477,0.114,0,"12","ACSL4"
0,3.80063712105441,0.327,0.064,0,"12","PCSK1N"
0,3.41785310909365,0.344,0.096,0,"12","SCD"
0,3.1384320528521,0.906,0.507,0,"12","SSR4"
0,3.02488957212656,0.257,0.083,0,"12","FAM107A"
0,2.9861271282866,0.324,0.131,0,"12","CADM1"
0,2.9761357022614,0.248,0.049,0,"12","SIX1"
0,2.92349326593808,0.495,0.222,0,"12","ITM2C"
0,2.92343767143892,0.413,0.201,0,"12","CHPF"
0,2.74716846839334,0.374,0.152,0,"12","CXCL17"
0,2.68866202816657,0.27,0.107,0,"12","ZNF117"
0,2.63492170800458,0.287,0.101,0,"12","AQP5"
0,2.59443128373407,0.223,0.109,0,"12","ABHD2"
0,2.54275825224719,0.202,0.094,0,"12","LPCAT1"
