"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.06255487846534e-304,1.59007122283489,0.42,0.188,1.69787965513971e-299,"0","DUSP4"
0,1.50865162613939,0.498,0.17,0,"0","GZMK"
7.28023910085663e-224,1.48806492935127,0.282,0.107,2.4416465896453e-219,"0","CD8A"
8.31993479202736e-191,1.46372653654867,0.449,0.292,2.79033973055014e-186,"0","DDX24"
0,1.43230940402415,0.92,0.641,0,"0","CXCR4"
2.26445162747546e-83,1.43076503279623,0.246,0.147,7.59451786822718e-79,"0","EML4"
0,1.39557939497116,0.74,0.421,0,"0","CD52"
2.45376085778453e-67,1.38829456955424,0.249,0.162,8.22942316483775e-63,"0","HIST1H4C"
0,1.38078203247708,0.611,0.292,0,"0","CD3D"
3.78159490505558e-211,1.36347834358089,0.31,0.13,1.26827129925754e-206,"0","CTSW"
0,1.33874071019138,0.824,0.389,0,"0","CCL5"
3.01281230833992e-320,1.33066124516113,0.504,0.248,1.01043699197104e-315,"0","CST7"
0,5.22924526457339,0.852,0.145,0,"17","IGHGP"
0,5.19533484796156,0.628,0.061,0,"17","IGHG2"
3.70190871091766e-53,5.15301168612228,0.561,0.252,1.24154614346756e-48,"17","IGHA1"
4.09464218462202e-258,4.85696912624813,0.941,0.356,1.37326109587853e-253,"17","IGHG1"
6.44063321286061e-65,4.73643272284374,0.93,0.783,2.16005956692919e-60,"17","IGLC2"
8.73052885793546e-156,4.6645604309857,0.997,0.894,2.92804476837439e-151,"17","IGKC"
0,4.32623903210551,0.536,0.048,0,"17","DERL3"
6.39063060419214e-215,4.11072482498704,0.973,0.528,2.14328969203396e-210,"17","IGHG3"
1.10492743364169e-35,4.01913308149549,0.577,0.357,3.70570562694748e-31,"17","IGLC3"
0,3.89767507729428,0.695,0.077,0,"17","MZB1"
2.23833657314985e-112,3.31253993535869,0.412,0.087,7.50693319902996e-108,"17","JCHAIN"
4.5732821630378e-151,3.0872014742047,0.865,0.418,1.53378737183962e-146,"17","IGHG4"
4.27052431285337e-153,2.4503372380504,0.868,0.472,1.43224844404476e-148,"17","SSR4"
9.99650600610976e-64,2.34204686455365,0.332,0.086,3.35262818432909e-59,"17","FKBP11"
8.5144314019471e-45,1.99484018386787,0.364,0.129,2.85557000358502e-40,"17","SEC11C"
2.2713657403145e-46,1.74299840529351,0.504,0.232,7.61770641986677e-42,"17","PRDX4"
1.18445318952032e-59,1.55210461579493,0.24,0.049,3.97241910701326e-55,"17","CD79A"
2.61502958658605e-25,1.44363700276365,0.474,0.273,8.77028622749228e-21,"17","FKBP2"
4.72396427671483e-23,1.32407464130226,0.404,0.216,1.58432313912462e-18,"17","XBP1"
1.56342842147118e-08,1.0219343025481,0.243,0.143,0.000524342623993004,"17","HSPG2"
0,4.52266755423496,0.468,0.017,0,"3","ITGBL1"
0,4.390353451564,0.255,0.008,0,"3","OMD"
0,4.29956295950159,0.778,0.098,0,"3","SFRP2"
0,4.22489751118297,0.41,0.024,0,"3","EPYC"
0,4.19056223082723,0.53,0.065,0,"3","CXCL14"
0,4.11736116090266,0.423,0.026,0,"3","NTM"
0,4.04812127198469,0.275,0.011,0,"3","CILP2"
0,3.9397434450022,0.394,0.03,0,"3","C1QTNF3"
0,3.92839646153018,0.709,0.06,0,"3","COL11A1"
0,3.92382642192998,0.844,0.08,0,"3","COL6A3"
0,3.86732935777882,0.821,0.097,0,"3","INHBA"
0,3.86199173513055,0.201,0.009,0,"3","ENPP1"
0,3.86023284334881,0.461,0.026,0,"3","COL10A1"
0,3.7706974558464,0.25,0.011,0,"3","C5orf46"
0,3.75496281556297,0.479,0.035,0,"3","SFRP4"
0,3.75495324865657,0.779,0.105,0,"3","COMP"
0,3.73301267697605,0.248,0.012,0,"3","FNDC1"
0,3.68059901806309,0.237,0.02,0,"3","CCL11"
0,3.67100921568848,0.812,0.086,0,"3","THBS2"
0,3.62682801449033,0.745,0.066,0,"3","COL8A1"
0,2.81078363203008,0.225,0.029,0,"6","CXCR6"
0,2.59818996482381,0.297,0.051,0,"6","LAG3"
0,2.05510052711832,0.472,0.116,0,"6","CD27"
1.70996565849404e-289,2.00628815346473,0.313,0.066,5.73488282545732e-285,"6","PRF1"
0,1.99643825060173,0.589,0.192,0,"6","GZMK"
1.82255414254491e-177,1.97169658924598,0.202,0.043,6.11248208326712e-173,"6","SIT1"
5.0009475795453e-283,1.92563935508877,0.413,0.114,1.6772177992279e-278,"6","CD8A"
0,1.91985084304628,0.219,0.028,0,"6","CXCL13"
0,1.9158215830447,0.81,0.247,0,"6","CD2"
1.1871610629753e-263,1.91017150082485,0.369,0.096,3.98150077300657e-259,"6","CD8B"
0,1.8934525963234,0.859,0.288,0,"6","TRAC"
1.73069032567151e-290,1.84625347302639,0.409,0.108,5.8043892142371e-286,"6","GZMH"
0,1.8257167304685,0.952,0.536,0,"6","IL32"
1.96915485772927e-228,1.7598098779011,0.285,0.066,6.60415156185244e-224,"6","GPR171"
0,1.73113881572758,0.567,0.175,0,"6","IL2RG"
4.11340198946959e-223,1.72255601554618,0.668,0.32,1.37955275922831e-218,"6","HSPA1A"
4.29454365264084e-291,1.70056973130401,0.765,0.429,1.44030405022269e-286,"6","CCL5"
1.02271588689138e-320,1.65370848783787,0.651,0.249,3.42998454145631e-316,"6","TRBC2"
2.65145254193186e-142,1.63844029704193,0.356,0.14,8.89244153513106e-138,"6","CARD16"
2.11247494248943e-154,1.61520272871464,0.24,0.065,7.08481846212107e-150,"6","SKAP1"
