"source_group","target_group","n_lr_pairs","total_score","mean_score","max_score","top_ligand","top_receptor"
"B cells","Myeloid_Macro-MCEMP1",402,91.3530086169883,0.227246290092011,8.78908667624065,"MIF","CD74"
"Myeloid_Macro-C3/CX3CR1","Myeloid_Proliferating Myeloid",289,91.0041103339031,0.314893115342225,7.0008668235244,"MIF","CD74"
"Myeloid_Interferon-Responsive Myeloid","T_NK_CD56dim cytotoxic NK",183,91.0028311800385,0.497283230492014,6.42716099116437,"MIF","CD74"
"T cells","T_NK_CD8+ T resident memory",76,90.9747105750997,1.19703566546184,7.93390166543144,"B2M","CD3D"
"T_NK_CD8+ T cytotoxic","Myeloid_Macro-THBS1",147,90.9672292610902,0.618824688850953,7.64917658046093,"B2M","LILRB2"
"Smooth_muscle_cells","Myeloid_cDC2",384,90.9667259016533,0.236892515368889,14.7575994549793,"MIF","CD74"
"T_NK_MAIT","T_NK_¦Ã¦ÄT",89,90.8799596355322,1.02112314197227,8.03381929048138,"B2M","CD3D"
"DC","Myeloid_Interferon-Responsive Myeloid",321,90.7124364752918,0.282593260047638,8.11645819840431,"MIF","CD74"
"Myeloid_cDC2","Myeloid_Macro-MCEMP1",261,90.5250646391559,0.346839328119371,7.86324615126585,"MIF","CD74"
"T_NK_¦Ã¦ÄT","Monocytes",176,90.2282812138061,0.512660688714807,6.49532782095083,"B2M","LILRB2"
"T cells","T_NK_CD8+ T CXCL13",79,89.97905110098,1.13897533039215,8.51092651888118,"B2M","CD3D"
"Myeloid_Macro-Inflammatory_TNF","Myeloid_Monocyte-like",208,89.9263399185662,0.432338172685415,8.02784055932082,"MIF","CD74"
"Myeloid_Macro-Inflammatory_TNF","T_NK_¦Ã¦ÄT",138,89.7582892046733,0.650422385541111,6.4369397232766,"B2M","CD3D"
"Myeloid_Macro-TIMD4","Myeloid_Macro-TIMD4",244,89.6485640909994,0.367412147913932,6.81617095465422,"MIF","CD74"
"Myeloid_Macro-MCEMP1","Myeloid_cDC2-like",247,89.562887052931,0.362602781590814,13.0539704331682,"MIF","CD74"
"T_NK_CD4+ T effector","T_NK_¦Ã¦ÄT",88,89.5011006058393,1.01705796142999,8.18128427985545,"B2M","CD3D"
"Smooth_muscle_cells","T_NK_¦Ã¦ÄT",210,89.4332593146757,0.425872663403218,7.09498244136171,"MIF","CD74"
"B cells","T_NK_¦Ã¦ÄT",217,89.3519776707542,0.411760265763844,6.7743457498805,"B2M","CD3D"
"Myeloid_cDC1","Myeloid_Macro-TIMD4",201,89.2286602623772,0.443923682897399,7.4062375922468,"MIF","CD74"
"Myeloid_Macro-Inflammatory_M1","Myeloid_Macro-MCEMP1",249,88.9626337554553,0.357279653636367,8.49889418291325,"MIF","CD74"
"Monocytes","Myeloid_Macro-MCEMP1",249,88.9486852401193,0.357223635502487,7.33057199598642,"MIF","CD74"
"Myeloid_Macro-C3/CX3CR1","Myeloid_cDC2",259,88.4651606670683,0.341564326899878,10.7571277412495,"MIF","CD74"
"Myeloid_Interferon-Responsive Myeloid","T_NK_CD4+ T effector",162,87.9672827292218,0.543007918081616,8.00499248795548,"LGALS1","CD69"
"T_NK_CD56dim cytotoxic NK","T_NK_CD56dim cytotoxic NK",110,87.9413790982547,0.799467082711406,5.51102290836153,"B2M","CD247"
"Myeloid_Monocyte-like","Myeloid_Macro-LYVE1",218,87.8101407337412,0.402798810705235,7.64654345278247,"VIM","CD44"
"Myeloid_Macro-TIMD4","Myeloid_Monocyte-like",204,87.7416872141857,0.43010630987346,6.80980438593231,"MIF","CD74"
"T_NK_CD4+ T regulatory","Myeloid_Macro-THBS1",143,87.7160092660496,0.613398666196151,7.7011665211618,"B2M","LILRB2"
"Myeloid_Macro-Inflammatory_M1","Myeloid_Macro-TIMD4",258,87.375785320414,0.338665834575248,7.73376851278868,"MIF","CD74"
"Myeloid_Macro-MCEMP1","Myeloid_Macro-TIMD4",232,87.3019569139403,0.376301538422156,8.67948042281163,"TIMP1","CD63"
"T_NK_CD56bright regulatory","T_NK_MAIT",82,87.2344578273491,1.06383485155304,6.37770626859628,"B2M","CD3D"
"Macrophages","Myeloid_Macro-THBS1",338,87.2245582771936,0.258060823305306,6.12524033966467,"MIF","CD74"
"Myeloid_Macro-TIMD4","T_NK_¦Ã¦ÄT",132,87.2087986299344,0.660672716893443,6.55091250115774,"B2M","CD3D"
