"source_group","target_group","ligand","receptor","score","ligand_avg","receptor_avg","ligand_pct","receptor_pct"
"Myeloid_Macro-Inflammatory_M1","CNV_Subclone_04","RPS27A","ERBB2",0.324704958626636,2.90427180398055,0.290735835250046,0.959937156323645,0.400599400599401
"T_NK_CD8+ T resident memory","CNV_Subclone_02","TGFB1","ITGB8",0.324321342612412,1.77167202531367,0.468662515297441,0.802941176470588,0.486461251167134
"T_NK_CD8+ T resident memory","CNV_Subclone_02","CCL5","SDC4",0.324311095956241,4.0963424479878,0.256420661851469,0.999019607843137,0.30905695611578
"T_NK_CD8+ T CXCL13","CNV_Subclone_02","CCL5","SDC4",0.324305747137821,4.15016825630818,0.256420661851469,0.986046511627907,0.30905695611578
"T_NK_CD4+ T effector","CNV_Subclone_04","UBA52","ERBB2",0.324026975122528,2.83070400340713,0.290735835250046,0.982828739267962,0.400599400599401
"Monocytes","CNV_Subclone_04","UBC","ERBB2",0.324001080779245,2.85426571506833,0.290735835250046,0.97463768115942,0.400599400599401
"Myeloid_cDC1","CNV_Subclone_02","HLA-A","ERBB2",0.323833228870498,3.5299169330737,0.273685599521673,1,0.335200746965453
"B_Classical-Bm_TXNIP","CNV_Subclone_03","MIF","CD74",0.323776129135363,1.61184120122754,0.68055018883845,0.799368088467615,0.3692458374143
"Myeloid_Macro-Inflammatory_TNF","CNV_Subclone_04","HLA-C","DDR1",0.32337081740551,1.79993706186631,0.40819621126551,0.837573385518591,0.525474525474525
"Myeloid_Macro-C3/CX3CR1","CNV_Subclone_03","HLA-B","CANX",0.323320330666184,3.12368898915312,0.349394670093472,0.988446726572529,0.299706170421156
"B_Bn_TCL1A","CNV_Subclone_04","UBA52","ERBB2",0.323239114539722,2.87497246141016,0.290735835250046,0.965342349957735,0.400599400599401
"B cells","CNV_Subclone_04","HLA-A","ERBB2",0.322451108476639,2.80690085042876,0.290735835250046,0.986342943854325,0.400599400599401
