dataset_id,cluster,n_cells,n_samples,total_samples_in_dataset,dominant_sample,dominant_sample_n,dominant_sample_fraction,normalized_shannon_entropy,simpson_diversity,effective_sample_number,dominance_label,cluster_sample_cramers_v,cluster_patient_cramers_v,cluster_timepoint_cramers_v,cluster_treatment_cramers_v
"GSE158722","22",1652,14,39,"P18_Post-treatment",1633,0.988498789346247,0.0248357715396142,0.0228573187390438,1.02339199707206,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","23",1535,14,39,"P04_Time2",1145,0.745928338762215,0.187271038098561,0.389142802576155,1.63704382008967,"moderate_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","24",1249,15,39,"P19_Post-treatment",1205,0.964771817453963,0.0631121987578251,0.0690255967784637,1.07414338841069,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","25",820,13,39,"P07_Time1",628,0.765853658536585,0.221543822589691,0.390422367638311,1.64048014052894,"moderate_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","26",619,1,39,"P24_Post-treatment",619,1,0,0,1,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","27",454,4,39,"P02_Time3",204,0.449339207048458,0.352129968152354,0.695947912825787,3.28891016435296,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","28",298,3,39,"P16_Pre-treatment",295,0.98993288590604,0.0171192875908749,0.0199765776316383,1.02038377570953,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","29",215,1,39,"P01_Time1",215,1,0,0,1,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","3",6466,29,39,"P21_Post-treatment",5586,0.863903495205691,0.194277389394465,0.250661840674325,1.33451097819427,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","30",162,1,39,"P01_Time2",162,1,0,0,1,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","31",146,4,39,"P03_Time3",143,0.979452054794521,0.0335024391097619,0.040532933008069,1.04224525718756,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","32",121,1,39,"P03_Time2",121,1,0,0,1,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","33",49,9,39,"P23_Post-treatment",23,0.469387755102041,0.452168351939196,0.720533111203665,3.57824143070045,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","4",6365,24,39,"P07_Time2",5584,0.877297721916732,0.133116851192796,0.220162132242002,1.28231782700545,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","5",5954,16,39,"P12_Pre-treatment",5905,0.991770238495129,0.0177962183187704,0.0163796361061271,1.01665239629778,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","6",4977,28,39,"P08_Time1",4125,0.828812537673297,0.242609035108045,0.309631417237799,1.44850160474995,"strong_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","7",4687,28,39,"P24_Post-treatment",1390,0.296564966929806,0.52901170302553,0.801473545415145,5.0371120669592,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","8",4515,30,39,"P07_Time2",3301,0.731118493909192,0.259498342987497,0.43068869732858,1.75650825006921,"moderate_sample_dominance",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
"GSE158722","9",4316,28,39,"P07_Time1",1479,0.342678405931418,0.576110365525316,0.820715277163405,5.57772008779258,"mixed",0.772415521577795,0.836077430345745,0.716849581935766,0.829622336246898
